Data from robot gripper sensors											
Nov-14											
"Data generation: Physical testing and data logging"												
"Hardware: human, Robotiq hand"												
Grasp #	left finger	right finger	middle finger	palm	maxofleft	maxofright	maxofmiddle	maxofpalm
442	207	24.5	276	202.0666668	426	62	419	431
443	207	24.5	276	202.0666668	426	62	419	431
444	359.75	7.5	9.25	1.7333332	420	11	25	9
445	1.5	22.5	18.5	4.0666668	2	37	61	27
446	121.75	9	13.75	14.7333332	295	23	19	48
447	33.5	252	51.75	76.4666668	49	415	100	290
448	135.75	171.25	194	112.5333332	272	377	315	484
449	246.75	126.25	193.25	111	494	295	328	484
450	179	42	218.5	119.9333332	354	110	362	418
451	192.5	80.25	213	136.8666668	366	239	343	455
452	182.25	65.25	211.75	143	373	194	356	458
453	179.75	66.5	230	143.7333332	367	190	407	458
454	1.25	11.25	2.75	7.6	3	26	6	73
455	1	2.75	33	1	1	5	123	4
456	208.25	57.5	227.25	209	410	144	341	473
457	215.5	22.5	260.25	192	414	81	376	445
458	198	43	271.75	233.7333332	363	106	435	451
459	191.75	51.5	273.5	254.6666668	366	164	432	450
460	197.75	39.5	245.5	262.3333332	391	105	370	452
461	52	199.75	266.25	0.4666668	183	344	427	1
462	97.5	106.5	150.75	11.5333332	343	351	364	114
463	105.25	112.75	103.75	39.0666668	372	337	293	351
464	183	204.5	22.25	0.8666668	349	348	60	2
465	167	211	75.25	2.2	343	416	146	22
466	174	223.25	34	3.6666668	336	403	81	24
467	169.25	137.75	14.25	8.0666668	328	338	27	70
468	162.75	17	97.75	57.6666668	329	53	264	457
469	268	222.5	134.5	1.6	381	354	273	11
470	119	241.25	249.75	0.8	387	424	442	2
471	90.75	294.75	180.25	0.8666668	330	456	431	2
472	148.75	237.75	4	47.8	353	349	8	371
473	216	167	89.75	3.5333332	367	350	301	23
474	213	201.5	7.75	40.3333332	473	370	18	380
475	87.5	201	10.5	11.9333332	311	351	32	68
476	103.5	126	48.5	42.2666668	347	387	79	176
477	99.75	231	47.25	41.8	347	344	91	120
478	84.5	142.75	107.75	45.3333332	318	398	263	136
479	125.25	189.25	165.75	1.5333332	440	348	335	7
480	26	347	235.5	0.8	84	435	390	4
481	99	12.75	65.25	36	362	44	127	123
482	90	11.75	204.25	50.9333332	325	36	325	193
483	67.5	39	92.75	129.8666668	234	132	260	467
484	94.25	46.75	60.75	63.2	347	143	161	242
485	89.75	27.25	7.5	73.7333332	349	68	10	304
486	90.5	8.75	72	39.8	346	12	157	218
487	94.25	27.5	102.25	66.3333332	341	60	238	298
488	102.5	217.25	158.25	1.4	352	352	307	6
489	103.75	301	136.75	0.2666668	360	476	277	2
490	95.75	293.75	212.25	0.6	343	451	281	2
491	22.5	50.75	6.75	5.7333332	61	179	18	50
492	86.25	34.25	5.25	2	336	117	10	12
493	108.75	98.25	25	46.0666668	323	218	76	349
494	87.5	35.5	52.5	10.3333332	322	122	175	68
495	83.25	20.25	69.5	1.1333332	299	72	242	8
496	122.75	128.5	103.75	3.8666668	317	463	337	21
497	138.25	12.25	36.75	51.4	356	28	96	231
498	129.5	141.25	85.5	1.4	369	399	303	5
499	218.25	175.25	145.5	0.9333332	424	349	287	2
500	174.5	305.25	203.75	0.6	430	429	310	1
501	83	192.25	197.75	14.6666668	280	475	369	141
502	213	82.5	99.75	29.1333332	346	190	252	154
503	117.5	219.25	9.5	31.5333332	336	406	17	141
504	188.75	151.5	11	33.4	383	348	19	167
505	181.75	302.25	9.5	43.0666668	362	446	19	325
506	173.25	82.5	32.25	20.0666668	336	212	79	123
